ValidName,Synonyms
Hypochrysops lustrare,
Hypochrysops luteus,
Hypochrysops makrikii,"Waigeum makrikii, Waigeum ceramicum"
Hypochrysops meeki,
Hypochrysops miraculum,"Waigeum thauma, Waigeum depicta, Waigeum roscia, Thysonotis? miraculum, Waigeum simplex"
Hypochrysops miskini parvulus,Hypochrysops parvulus
Hypochrysops miskini,Miletus miskini
Hypochrysops narcissus dryope,"Hypochrysops vulcanicus, Hypochrysops dryope"
Hypochrysops narcissus eratosthenes,Miletus eratosthenes
Hypochrysops narcissus eucletus,Hypochrysops eucletus
Hypochrysops narcissus menandrus,Miletus menandrus
Hypochrysops narcissus sabirius,Miletus sabirius
Hypochrysops narcissus,"Hesperia livius, Papilio narcissus, Miletus livius  , Drupadia livius  , Miletus narcissus"
Hypochrysops piceata,
Hypochrysops plotinus,Miletus stotharti
Hypochrysops polycletus atromarginata,"Miletus menyllus, Hypochrysops atromarginata"
Hypochrysops polycletus brunnea,Hypochrysops brunnea
Hypochrysops polycletus epicletus,Thecla epicletus
Hypochrysops polycletus kaystrus,Miletus kaystrus
Hypochrysops polycletus rex,"Hypochrysops hypocletus, Miletus hylaithus, Miletus linos, Miletus oineus, Simoethus rex"
Hypochrysops polycletus rovena,Hypochrysops rovena
Hypochrysops polycletus,"Papilio polycletus, Papilio epopus"
Hypochrysops protogenes pretiosus,Hypochrysops pretiosus
Hypochrysops protogenes,
Hypochrysops pyrodes,
Hypochrysops pythias aurifer,Hypochrysops aurifer
Hypochrysops pythias drucei,Hypochrysops drucei
Hypochrysops pythias euclides,"Hypochrysops euclides, Miletus meleagris"
Hypochrysops pythias werneri,Miletus werneri
Hypochrysops pythias,Hypochrysops chrysodesmus
Hypochrysops ribbei pratti,"Waigeum pratti, Waigeum caroli"
Hypochrysops ribbei,Plebeius ribbei
Hypochrysops rufimargo,Lycaenesthes rufimargo
Hypochrysops scintillans carolina,"Hypochrysops carolina, Hypochrysops mathiasensis"
Hypochrysops scintillans carveri,"Hypochrysops carveri, Hypochrysops wituensis"
Hypochrysops scintillans constancea,Hypochrysops constancea
Hypochrysops scintillans jamesi,Hypochrysops jamesi
Hypochrysops scintillans mirabilis,Hypochrysops mirabilis
Hypochrysops scintillans squalliensis,Hypochrysops squalliensis
Hypochrysops scintillans,"Miletus scintillans, Hypochrysops pagenstecheri"
Hypochrysops siren eugippius,Miletus eugippius
Hypochrysops siren,
Hypochrysops subcaeruleum coruscans,"Waigeum utyi, Waigeum coruscans"
Hypochrysops subcaeruleum,Waigeum subcaeruleum
Hypochrysops taeniata,
Hypochrysops theon alix,Hypochrysops alix
Hypochrysops theon cretatus,Hypochrysops cretatus
Hypochrysops theon johnsoni,Hypochrysops johnsoni
Hypochrysops theon medocus,"Miletus medocus, Miletus panaetha"
Hypochrysops theon milesius,Miletus milesius
Hypochrysops theon theonides,"Hypochrysops theonides, Hypochrysops carmen"
Hypochrysops theon theophanes,Hypochrysops theophanes
Hypochrysops theon,Miletus eunice
Hypochrysops thesaurus,
Hypolycaena alcestis,Thecla alcestis
Hypolycaena amabilis lisba,Chliaria lisba
Hypolycaena amabilis martini,Chliaria martini
Hypolycaena amabilis,"Chilaria amabilis, Zeltus amabilis, Chliaria amabilis  , Chliaria libsa"
Hypolycaena amanica,
Hypolycaena amasa censorinus,Zeltus censorinus
Hypolycaena amasa gratidianus,Zeltus gratidianus
Hypolycaena amasa masaya,Zeltus masaya
Hypolycaena amasa maximinianus,Zeltus maximinianus
Hypolycaena amasa miyatakei,Zeltus miyatakei
Hypolycaena amasa,
Hypolycaena anara,
Hypolycaena antifaunus latimacula,Zeltus latimacula
Hypolycaena antifaunus,"Hypolycaena latefasciata, Iolaus antifaunus"
Hypolycaena asahi,"Pterophorus decipiens  , Pterophorus tristanae"
Hypolycaena auricostalis frommi,Hypolycaena frommi
Hypolycaena auricostalis,"Iolaus auricostalis, Hypolycaena sebasta"
Hypolycaena balua gabrieli,Chliaria gabrieli
Hypolycaena balua,Chliaria balua
Hypolycaena buxtoni rogersi,Hypolycaena rogersi
Hypolycaena buxtoni spurcus,"Hypolycaena spurcus, Hypolycaena divisa"
Hypolycaena buxtoni,Hypolycaena seamani
Hypolycaena clenchi,Hypolycaena chloana
Hypolycaena coerulea,Hypolycaena eucyana
Hypolycaena condamini,
Hypolycaena daawiae,
Hypolycaena danis danisoides,Hypolycaena danisoides
Hypolycaena danis derpiha,Myrina derpiha
Hypolycaena danis milo,Myrina milo
Hypolycaena danis turneri,Pseudonotis turneri
Hypolycaena danis,"Pseudonotis batjana, Myrina danis"
Hypolycaena dendrobii,Chliaria dendrobii
Hypolycaena dictaea,
Hypolycaena dubia,
Hypolycaena erylus aimnestus,Hypolycaena aimnestus
Hypolycaena erylus andamana,Hypolycaena andamana
Hypolycaena erylus erna,Hypolycaena erna
Hypolycaena erylus figulus,Hypolycaena figulus
Hypolycaena erylus gamatius,"Hypolycaena gamatius, Hypolycaena babantius"
Hypolycaena erylus georgius,Hypolycaena georgius
Hypolycaena erylus mindoranus,Hypolycaena mindoranus
Hypolycaena erylus orsiphantus,Hypolycaena orsiphantus
Hypolycaena erylus pigres,Hypolycaena pigres
Hypolycaena erylus pupienus,Hypolycaena pupienus
Hypolycaena erylus splendidus,Hypolycaena splendidus
Hypolycaena erylus syphax,Hypolycaena syphax
Hypolycaena erylus teatus,Hypolycaena teatus
Hypolycaena erylus tmolus,Hypolycaena tmolus
Hypolycaena erylus tyrius,Hypolycaena thyrius
Hypolycaena erylus,Polyommatus erylus
Hypolycaena hatita japhusa,Hypolycaena japhusa
Hypolycaena hatita ugandae,Hypolycaena ugandae
Hypolycaena hatita,
Hypolycaena himavantus,
Hypolycaena histiaa,Chliaria histiaa
Hypolycaena irawana,Chliaria irawana
Hypolycaena ithna,
Hypolycaena jacksoni,Hypolycaena puella
Hypolycaena kadiskos,
Hypolycaena kakumi,Hypolycaena achlya
Hypolycaena kina celastroides,Chliaria celastroides
Hypolycaena kina inari,Tajuria inari
Hypolycaena kina,Hypolycaena cachara
Hypolycaena lebona davenporti,Hypolycaena davenporti
Hypolycaena lebona,"Hypolycaena anomala, Hypolycaena splendens, Hypolycaena confusa, Hypolycaena rhabdota, Thecla lebona"
Hypolycaena liara plana,Hypolycaena plana
Hypolycaena liara,"Hypolycaena bitjeana, Hypolycaena symmacha"
Hypolycaena litoralis,
Hypolycaena lochmophila,
Hypolycaena matiana,"Chliaria matiana, Chliaria albiplaga"
Hypolycaena merguia palpatoris,Chliaria palpatoris
Hypolycaena merguia skapane,"Chliaria sobanas, Hypolycaena skapane"
Hypolycaena merguia watsoni,Chliaria watsoni
Hypolycaena merguia,Chliaria merguia
Hypolycaena naara,
Hypolycaena narada,
Hypolycaena nigra,
Hypolycaena nilgirica,
Hypolycaena ogadenensis,Hypolycaena? ogadenensis
Hypolycaena othona jiwabaruana,Chliaria jiwabaruana
Hypolycaena othona maruyamai,Hypolycaena maruyamai
Hypolycaena othona mimima,Chliaria mimima
Hypolycaena othona semanga,Chliaria semanga
Hypolycaena othona waltraudae,"Hypolycaena waltraude, Hypolycaena waltraudae"
Hypolycaena othona,Hypolycaena eltola
Hypolycaena pachalica,Hypolycaena aureolineata
Hypolycaena pahanga,Chliaria pahanga
Hypolycaena periphorbas,"Hypolycaena moutoni, Hypolycaena erasmus"
Hypolycaena phemis,
Hypolycaena philippus ramonza,Cupido ramonza
Hypolycaena philippus,"Jolaus orejus, Amblypodia erylus"
Hypolycaena phorbas infumata,Hypolycaena infumata
Hypolycaena phorbas ingura,Hypolycaena ingura
Hypolycaena phorbas silo,"Hypolycaena walteri, Hypolycaena silo, Hypolycaena phorbanta, Hypolycaena pseudophorbas, Hypolycaena latostrigatus"
Hypolycaena phorbas,"Hypolycaena dictaeella, Hesperia phorbas, Hypolycaena noctula, Myrina anterylus"
Hypolycaena pompadius,Zeltus pompadius
Hypolycaena schroederi,Chliaria schroederi
Hypolycaena schubotzi,
Hypolycaena scintillans,"Hypolycaena batangae, Hypolycaena paralourga"
Hypolycaena shirozui madilimi,Hypolycaena madilimi
Hypolycaena shirozui tenellus,Hypolycaena tenellus
Hypolycaena shirozui,Chliaria shirozui
Hypolycaena similis,
Hypolycaena sipylus bella,Hypolycaena bella
Hypolycaena sipylus capella,Hypolycaena capella
Hypolycaena sipylus giscon,"Hypolycaena giscon, Hypolycaena kalawara, Hypolycaena lewara, Hypolycaena minor"
Hypolycaena sipylus intermedius,Hypolycaena intermedius
Hypolycaena sipylus numa,Hypolycaena numa
Hypolycaena sipylus pictor,Hypolycaena pictor
Hypolycaena sipylus rhodanus,Hypolycaena rhodanus
Hypolycaena sipylus tharrytas,Hypolycaena tharrytas
Hypolycaena sipylus,Myrina sipylus
Hypolycaena sohmai,
Hypolycaena suda,Hypolycaena obscura
Hypolycaena tearei,
Hypolycaena thecloides camotana,Hypolycaena camotana
Hypolycaena thecloides extensa,Hypolycaena extensa
Hypolycaena thecloides mortadai,Hypolycaena mortadai
Hypolycaena thecloides nicobarica,Hypolycaena nicobarica
Hypolycaena thecloides philippina,Hypolycaena philippina
Hypolycaena thecloides vardara,Hypolycaena vardara
Hypolycaena thecloides,Myrina thecloides
Hypolycaena tora phataa,Chliaria phataa
Hypolycaena tora pumilina,Chliaria pumilina
Hypolycaena tora,
Hypolycaena toshikoae,
Hypolycaena umbrata,
Hypolycaena vanavasa,Chliaria vanavasa
Hypolycaena varnieri,Iolaus varnieri
Hypolycaena xenia,"Horaga? celebica, Chliaria xenia"
Hypomyrina fournierae,
Hypomyrina mimetica,
Hypomyrina nomenia,"Hypomyrina extensa, Myrina nomenia"
Hypomyrina nomion,"Deudorix acares, Myrina nomion, Deudorix nomion"
Hypophytala benitensis minziro,Hypophytala minziro
Hypophytala benitensis,"Phytala schultzei, Epitola benitensis, Epitola rezia, Phytala benitensis  , Phytala rezia"
Hypophytala henleyi,"Epitola henleyi, Phytala henleyi  , Hypohytala henleyi"
Hypophytala hyetta latifascia,Hypophytala latifascia
Hypophytala hyetta,"Epitola hyetta, Phytala intermixta, Phytala hyetta"
Hypophytala hyettina,Phytala hyettina
Hypophytala hyettoides,"Phytala aequatorialis, Epitola hyettoides, Phytala hyettoides  , Hypophytala aequatorialis"
Hypophytala nigrescens,Phytala nigrescens
Hypophytala obscura,Phytala obscura
Hypophytala reducta,Phytala reducta
Hypophytala ultramarina,
Hypophytala vansomereni,Phytala vansomereni
Hypostrymon aepeona,Thecla aepeona
Hypostrymon asa,Thecla asa
Hypostrymon critola,"Hypostrymon aderces, Hypostrymon margaretae, Hypostrymon ines, Thecla critola, Hypolycaena festata"
Hypostrymon renidens,Thecla renidens
Hypothecla astyla mindanaensis,"Hypothecla mindanaensis, Hypothecla cebuensis"
Hypothecla astyla palawensis,Hypothecla palawensis
Hypothecla astyla tegea,Hypothecla tegea
Hypothecla astyla,"Hypolycaena astyla, Lycaena astyla  , Hypolycaena mindanaensis  , Hypolycaena tegea"
Hypothecla honos,Hypothecla indrasiri
Hyrcanana caspius,Polyommatus caspius
Hyrcanana evansii hindukushensis,Hyrcanana hindukushensis
Hyrcanana evansii,Chrysophanus evansii
Hyrcanana pamira,Hyrcanana sarekanda
Hyrcanana sartha hofmanni,Hyrcanana hofmanni
Hyrcanana sartha susanus,"Lycaena afghana, Chrysophanus susanus, Hyrcanana wyatti"
Hyrcanana sartha,"Chrysophanus caudatus, Lycaena ophion, Polyommatus sarthus"
Hyrcanana sultan,"Chrysophanus sultani, Polyommatus sultan"
Hyrcanana transiens meridianalis,Chrysophanus meridianalis
Hyrcanana transiens,Polyommatus transiens
Iaspis andersoni,
Iaspis beera,Thecla beera
Iaspis castimonia,Thecla castimonia
Iaspis castitas,"Thecla castitas, Iaspis ambiguanota, Iaspis fumosa, Iaspis minuta, Iaspis sinenota"
Iaspis exiguus,Thecla exiguus
Iaspis grandis,"Iaspis rubricunda, Iaspis rufa"
Iaspis ornata,
Iaspis talayra,Thecla talayra
Iaspis temesa,"Thecla temesa, Iaspis purpurata"
Iaspis thabena,"Thecla thabena, Iaspis diffusus, Iaspis flava"
Iaspis verania,Thecla verania
Icaricia acmon,"Lycaena antaegon, Plebeius labecula, Lycaena acmon, Rusticus cottlei, Plebeius kelseyi, Rusticus acmon  , Aricia acmon"
Icaricia icarioides albihalos,Icaricia albihalos
Icaricia icarioides argusmontana,Icaricia argusmontana
Icaricia icarioides atascadero,Icaricia atascadero
Icaricia icarioides austinorum,Icaricia austinorum
Icaricia icarioides blackmorei,Plebeius blackmorei
Icaricia icarioides buchholzi,Plebeius buchholzi
Icaricia icarioides eosierra,Icaricia eosierra
Icaricia icarioides evius,Lycaena evius
Icaricia icarioides fenderi,Plebejus fenderi
Icaricia icarioides fulla,"Lycaena fulla, Lycaena ardea"
Icaricia icarioides helios,"Plebeius spinimaculata, Lycaena helios"
Icaricia icarioides inyo,Icaricia inyo
Icaricia icarioides lycea,"Lycaena lycea, Lycaena rapahoe"
Icaricia icarioides missionensis,Plebejus missionensis
Icaricia icarioides montis,Plebeius montis
Icaricia icarioides moroensis,Plebejus moroensis
Icaricia icarioides nigrafem,Plebejus nigrafem
Icaricia icarioides panamintina,Icaricia panamintina
Icaricia icarioides parapheres,Icaricia parapheres
Icaricia icarioides pardalis,"Lycaena erymus, Plebeius windi, Lycaena pardalis, Lycaena mintha"
Icaricia icarioides pembina,Lycaena pembina
Icaricia icarioides pheres,
Icaricia icarioides sacre,Plebejus sacre
Icaricia icarioides santana,Icaricia santana
Icaricia icarioides,"Lycaena phileros, Lycaena icarioides, Lycaena maricopa, Lycaena daedalus, Cupido icarioides  , Plebejus icarioides"
Icaricia lupini alpicola,Icaricia alpicola
Icaricia lupini argentata,Icaricia argentata
Icaricia lupini chlorina,"Lycaena chlorina, Plebejus transvestitus"
Icaricia lupini clorina,Plebeius carolyna
Icaricia lupini cotundra,Plebejus cotundra
Icaricia lupini dedeckera,Icaricia dedeckera
Icaricia lupini goodpasturei,Icaricia goodpasturei
Icaricia lupini lutzi,"Plebeius lutzi, Plebejus pseudolupini"
Icaricia lupini monticola,"Plebeius angelus, Plebeius montanus, Rusticus monticola, Plebeius malcolmi, Plebeius pallida"
Icaricia lupini spangelatus,Plebeius spangelatus
Icaricia lupini texanus,Plebejus texanus
Icaricia lupini,"Lycaena lupini, Plebeus immaculata, Plebejus lupinus  , Plebejus lupini  , Rusticus chlorina"
Icaricia neurona,Lycaena neurona
Icaricia saepiolus aehaja,Lycaena aehaja
Icaricia saepiolus albomontanus,Plebejus albomontanus
Icaricia saepiolus amica,"Plebejus caerulescens, Lycaena amica, Lycaena kodiak"
Icaricia saepiolus aureolus,Plebejus aureolus
Icaricia saepiolus gertschi,Plebeius gertschi
Icaricia saepiolus hilda,"Plebeius garthi, Cupido hilda, Plebeius boharti"
Icaricia saepiolus insulanus,Plebeius insulanus
Icaricia saepiolus littoralis,Plebejus littoralis
Icaricia saepiolus maculosus,Plebejus maculosus
Icaricia saepiolus rufescens,Lycaena rufescens
Icaricia saepiolus whitmeri,"Plebejus whitmeri, Plebeius leussleri"
Icaricia saepiolus,"Lycaena saepiolus, Plebejus saepiolus  , Cupido saepiolus"
Icaricia shasta calchas,Lycaena calchas
Icaricia shasta charlestonensis,Plebejus charlestonensis
Icaricia shasta minnehaha,"Plebejus browni, Agriades minnehaha"
Icaricia shasta pallidissima,Icaricia pallidissima
Icaricia shasta pitkinensis,Plebejus pitkinensis
Icaricia shasta platazul,Plebejus platazul
Icaricia shasta,"Lycaena nivium, Plebeius comstocki, Lycaena shasta, Lycaena zelmira, Plebejus shasta  , Icaricia calcas  , Rusticus shasta  , Lycaeides shasta"
Ignata brasiliensis,"Thecla catamarquensis, Thecla brasiliensis"
Ignata caldas,
Ignata elana,Thecla elana
Ignata gadira,"Thecla minthe, Thecla gadira"
Ignata levis,"Thecla levis, Ignata ignobilis"
Ignata mulsus,Thecla mulsus
Ignata norax,"Thecla norax, Thecla conchylium"
Iolana alfierii,
Iolana andreasi khayyami,Iolana khayyami
Iolana andreasi,Lycaena andreasi
Iolana arjanica,Jolana arjanica
Iolana debilitata farriolsi,"Jolana farriolsi, Maculinea fidelis, Iolana vareai, Iolana thomasi"
Iolana debilitata,"Lycaena powelli, Maculinea saritae, Lycaena debilitata"
Iolana gigantea gilgitica,Polyommatus gilgitica
Iolana gigantea,"Lycaena gigantea, Lycaena iphicles, Glaucopsyche iphicles  , Polyommatus gigantea"
Iolana iolas lessei,"Iolana lessei, Iolana cappadocia, Iolana christinae"
Iolana iolas protogenes,Lycaena protogenes
Iolana iolas wullschlegeli,"Lycaena eurysthenes, Lycaena wullschlegeli"
Iolana iolas,"Iolana obscuriolas, Lycaena opulenta, Iolana magnaiolas, Lycaena iolas, Iolana bureschi"
Iolana kermani,
Iolaus adorabilis,
Iolaus aemulus,Epamera aemulus
Iolaus aequatorialis,Iolaphilus aequatorialis
Iolaus aethes,
Iolaus aethria,Epamera mirabilis
Iolaus agnes,Jolaus agnes
Iolaus alcibiades,Jolaus julianus
Iolaus alexanderi,
Iolaus alienus bicaudatus,Jolaus bicaudatus
Iolaus alienus sophiae,Iolaus sophiae
Iolaus alienus ugandae,Iolaus ugandae
Iolaus alienus,Epamera alienus
Iolaus apatosa,Epamera apatosa
Iolaus aphnaeoides,Iolaus canissus
Iolaus arborifera,Epamera arborifera
Iolaus argentarius,Hypolycaena leucoceros
Iolaus aurivillii,"Jolaus aurivillii, Jolaus sapphirinus"
Iolaus australis,
Iolaus bakeri,Epamera bakeri
Iolaus bamptoni,Epamera bamptoni
Iolaus banco,
Iolaus bansana yalae,Epamera yalae
Iolaus bansana,
Iolaus bellina exquisita,Epamera exquisita
Iolaus bellina maris,Epamera maris
Iolaus bellina,"Iolaus iaspis, Hypolycaena bellina"
Iolaus bergeri,Argiolaus bergeri
Iolaus bilineata,
Iolaus bolissus aurora,Iolaus aurora
Iolaus bolissus azureus,Iolaus azureus
Iolaus bolissus,
Iolaus caesareus cleopatrae,Iolaus cleopatrae
Iolaus caesareus,Jolaus caesareus
Iolaus calisto,"Anthene calisto, Anthene? calisto"
Iolaus carina,Iolaus gabonensis
Iolaus carolinae,
Iolaus christofferi,
Iolaus coelestis,
Iolaus congdoni,"Epamera uluguru, Epamera congdoni"
Iolaus cottrelli,Iolaphilus cottrelli
Iolaus crawshayi elgonae,Iolaus elgonae
Iolaus crawshayi littoralis,"Iolaus littoralis, Iolaus kalleb"
Iolaus crawshayi maureli,Iolaus maureli
Iolaus crawshayi niloticus,Iolaus niloticus
Iolaus crawshayi nyanzae,Iolaus nyanzae
Iolaus crawshayi,Argiolaus crawshayi
Iolaus creta,"Iolaus alberici, Epamera fuscomarginata, Myrina creta"
Iolaus cytaeis caerulea,Epamera caerulea
Iolaus cytaeis,
Iolaus diametra congco,"Epamera littoralis, Iolaus congco"
Iolaus diametra natalica,Iolaus natalica
Iolaus diametra zanzibarensis,Epamera zanzibarensis
Iolaus diametra,Epamera diametra
Iolaus dianae,
Iolaus djaloni,
Iolaus dubiosa,Epamera dubiosa
Iolaus eurisus susurro,"Iolaus susurro, Papilio helius"
Iolaus eurisus vexillarius,Iolaus vexillarius
Iolaus eurisus,"Jolaus thuraui, Papilio eurisus, Iolaus thuraui"
Iolaus farquharsoni,Epamera farquharsoni
Iolaus flavilinea,Epamera flavilinea
Iolaus fontainei,Epamera fontainei
Iolaus frater kamerunica,Epamera kamerunica
Iolaus frater kumboae,Epamera kumboae
Iolaus frater,Epamera frater
Iolaus gabunica mbami,Iolaphilus mbami
Iolaus gabunica,Argiolaus gabunica
Iolaus gemmarius,Epamera gemmarius
Iolaus glaucus,"Jolaus jordanus, Epamera glaucus"
Iolaus handmani,Epamera handmani
Iolaus helenae,
Iolaus hemicyanus barbara,"Epamera yokoana, Jolaus barbara, Jolaus mildbraedi"
Iolaus hemicyanus barnsi,Epamera barnsi
Iolaus hemicyanus,"Jolaus bryki, Epamera toroensis"
Iolaus henryi,Iolaphilus henryi
Iolaus iasis albomaculatus,Iolaus albomaculatus
Iolaus iasis,"Jolaus bertha, Iolaus belli, Argiolaus belli"
Iolaus icipe,
Iolaus ismenias piaggiae,Jolaus piaggiae
